Código AMIE|Nombre de la Institución Educativa|Código División Política Administrativa Provincia|Provincia|Código División Política Administrativa  Cantón|Cantón|Código División Política Administrativa  Parroquia|Parroquia|Zona Administrativa|Denominación del Distrito|Código de Distrito|Código de Circuito Educativo| Unidad Administrativa Circuital (propuesta de ubicación)|Casos excepcionales|Sostenimiento|Régimen Escolar|Jurisdicción|Tipo de Educación|Modalidad|Jornada|Nivel|Etnia|Nacionalidad|Pueblo|Institución Educativa georeferenciada|Institución responsable|Acceso (terrestre/ aéreo/fluvial)|Número de estudiantes|Número de docentes|Estado
07H00408|BATALLON CAYAMBE NÚMERO 3|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|163|13|Activa
07H00419|CORAZON DE JESUS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Particular|COSTA|Hispana|Educación regular|Presencial|Vespertina|Bachillerato|Mestiza|No aplica|No Aplica|NO|1|Terrestre|33|11|Activa
07H00404|ONCE DE NOVIEMBRE|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|325|19|Activa
07H00412|ASAAD BUCARAM|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Nocturna|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|SI|3|Terrestre|118|20|Activa
07H01432|BIMOT 1  CONSTITUCIÓN|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Popular Permanente|Presencial|Nocturna|Educación Básica y Alfabetización P.P.|Mestiza|No aplica|No Aplica|SI|3|Terrestre|18|1|Activa
07H01291|KLEBER TINOCO PINEDA|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación Especial|Presencial y Semipresencial|Matutina y Vespertina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|66|9|Activa
07H01305|LAS BRISAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|96|4|Activa
07H01306|CENTRO DE FORMACION ARTESANAL ARENILLAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Popular Permanente|Presencial|Nocturna|Educación Básica y Artesanal P.P|Mestiza|No aplica|No Aplica|SI|3|Terrestre|301|17|Activa
07H01309|25 DE DICIEMBRE|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|54|3|Activa
07H00397|AMAZONAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|121|5|Activa
07H00400|CIUDAD DE ARENILLAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|465|15|Activa
07H00401|ALBERT EINSTEIN|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Particular|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|138|14|Activa
07H00403|SANTO TOMAS DE AQUINO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Particular|COSTA|Hispana|Educación regular|Presencial|Matutina y Vespertina|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|SI|6|Terrestre|229|20|Activa
07H00409|9 DE OCTUBRE|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|23|2|Activa
07H00411|ARENILLAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina y Nocturna|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|SI|6|Terrestre|1396|55|Activa
07H00413|BATALLON DE INFANTERIA N 38 AMBATO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|21|1|Activa
07H00415|18 DE NOVIEMBRE|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|158|11|Activa
07H00416|JUAN MONTALVO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|407|20|Activa
07H00417|CIUDAD DE QUITO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|336|18|Activa
07H00418|ARISTIDES CORDOVA VILLACIS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|41|5|Activa
07H00420|UNION Y  PROGRESO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|4|1|Activa
07H00422|CRNL FELIX HUMBERTO PINEDA CORREA|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|109|6|Activa
07H00428|MONS LEONIDAS PROAÑO VILLALBA|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|151|6|Activa
07H00431|NAPOLEON PALADINES CARREÑO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|45|5|Activa
07H00432|MAYOR HECTOR ESPINOZA|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|47|5|Activa
07H00436|CONSTITUCION|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|141|8|Activa
07H00437|ING. RAFAEL GUERRERO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|12|2|Activa
07H00410|DR CAMILO GALLEGOS DOMINGUEZ|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C01_02|SI|0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina y Vespertina|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|SI|6|Terrestre|613|30|Activa
07H01424|TAHUIN CHICO|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Popular Permanente|Presencial|Vespertina|Educación Básica|Mestiza|No aplica|No Aplica|NO|0|Terrestre|11|1|Activa
07H00445|5 DE JUNIO|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|14|2|Activa
07H00440|RUMIÑAHUI|07|EL ORO|0702|ARENILLAS|070251|CHACRAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|SI|3|Terrestre|120|12|Activa
07H00441|SOLDADO JOSE DIAZ|07|EL ORO|0702|ARENILLAS|070251|CHACRAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|187|10|Activa
07H00442|SIMON BOLIVAR|07|EL ORO|0702|ARENILLAS|070251|CHACRAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|46|3|Activa
07H00456|JOSE MARIA MEJIA LEQUERICA|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|315|18|Activa
07H00458|MAYOR GALO MOLINA|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|63|4|Activa
07H00462|MAYOR  MANUEL ANTONIO ROSERO|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|46|3|Activa
07H00464|ZOILA ESPERANZA CRESPO|07|EL ORO|0702|ARENILLAS|070255|CARCABON|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|29|4|Activa
07H00466|JESUS MARIA YEPEZ|07|EL ORO|0702|ARENILLAS|070255|CARCABON|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|48|5|Activa
07H00467|TENIENTE HUGO ORTIZ|07|EL ORO|0702|ARENILLAS|070255|CARCABON|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|3|Terrestre|11|1|Activa
07H00430|VICENTE ROCAFUERTE|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|14|1|Activa
07H00446|PROF  ROBERTO CORREA SANCHEZ|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|7|1|Activa
07H00447|CORDILLERA DEL CONDOR|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|8|1|Activa
07H00448|9 DE OCTUBRE|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|15|2|Activa
07H00450|PALMALES|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|15|2|Activa
07H00452|CABO LUIS MINACHO PADILLA|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|11|2|Activa
07H00453|RIO ARENILLAS|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|21|3|Activa
07H00455|VICENTE ANDA AGUIRRE|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|8|1|Activa
07H00457|JOSE MIGUEL ALVAREZ|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|7|1|Activa
07H00459|24 DE MAYO|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|24|3|Activa
07H00451|ABDON CALDERON MUÑOZ|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04|SI|0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|SI|6|Terrestre|215|17|Activa
07H00423|ELOY ALFARO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||1|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|24|3|Activa
07H00425|CARLOS VELASCO DURAN|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||1|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|12|1|Activa
07H00426|REMIGIO CRESPO TORAL|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||1|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|6|1|Activa
07H00449|24 DE AGOSTO|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||1|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|9|1|Activa
07H00454|AURELIO SOLIS|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||1|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|14|1|Activa
07H00461|JHON CESAR CHERREZ|07|EL ORO|0702|ARENILLAS|070254|PALMALES|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05|07D05C03_04||1|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|SI|6|Terrestre|10|1|Activa
07H00399|SOC LEONOR ROLDAN DE TINOCO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05||||Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial|Mestiza|No aplica|No Aplica|||Terrestre|17|1|Activa
07H00414|MARIA PIEDAD CASTILLO DE LEVI|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05||||Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|||Terrestre|526|23|Activa
07H00421|PRIMERO DE JUNIO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05||||Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial|Mestiza|No aplica|No Aplica|||Terrestre|86|5|Activa
07H00434|LAS AMERICAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05||||Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial|Mestiza|No aplica|No Aplica|||Terrestre|39|2|Activa
07H01480|EUGENIO  ESPEJO     -  EXTENSIÓN|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05||||Fiscal|COSTA|Hispana|Popular Permanente|A Distancia|Matutina|Educación Básica, Bachillerato y Artesanal P.P.|Mestiza|NULL|NULL|||Terrestre|273|10|Activa
07H01488|CIUDADELA LA LIBERTAD|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|Zona 7|ARENILLAS – LAS LAJAS – HUAQUILLAS|07D05||||Fiscal|COSTA|Hispana|Popular Permanente|Presencial|Nocturna|Educación Básica|Mestiza|NULL|NULL|||Terrestre|11|1|Activa
07H00469|REPUBLICA DE ARGENTINA|07|EL ORO|0703|ATAHUALPA|070350|PACCHA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|31|4|Activa
07H00471|JUAN LEON MERA|07|EL ORO|0703|ATAHUALPA|070350|PACCHA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|106|11|Activa
07H00473|DAVID GUZMAN|07|EL ORO|0703|ATAHUALPA|070350|PACCHA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|7|3|Activa
07H00475|13 DE JULIO|07|EL ORO|0703|ATAHUALPA|070350|PACCHA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Inicial y Educacción Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|171|12|Activa
07H00476|GASTON FIGUEIRA|07|EL ORO|0703|ATAHUALPA|070350|PACCHA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|5|1|Activa
07H00478|CELIA LUCIA PONTON MATAMOROS|07|EL ORO|0703|ATAHUALPA|070351|AYAPAMBA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|24|3|Activa
07H00480|DIEZ DE AGOSTO|07|EL ORO|0703|ATAHUALPA|070351|AYAPAMBA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|41|5|Activa
07H00481|AMAZONAS|07|EL ORO|0703|ATAHUALPA|070351|AYAPAMBA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|11|2|Activa
07H00482|MERCEDES  MOROCHO|07|EL ORO|0703|ATAHUALPA|070351|AYAPAMBA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|16|3|Activa
07H00485|AYAPAMBA|07|EL ORO|0703|ATAHUALPA|070351|AYAPAMBA|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica y Bachillerato|Mestiza|No aplica|No Aplica|NO|1|Terrestre|111|13|Activa
07H00488|REPUBLICA DE MEXICO|07|EL ORO|0703|ATAHUALPA|070352|CORDONCILLO|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|147|18|Activa
07H00491|BLANCA LIDIA ORDOÑEZ VASQUEZ|07|EL ORO|0703|ATAHUALPA|070352|CORDONCILLO|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|18|3|Activa
07H00493|ATAHUALPA|07|EL ORO|0703|ATAHUALPA|070353|MILAGRO|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|13|2|Activa
07H00494|EL ORO|07|EL ORO|0703|ATAHUALPA|070354|SAN JOSE|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|17|3|Activa
07H00495|CARLOS REYES ANDRADE|07|EL ORO|0703|ATAHUALPA|070354|SAN JOSE|Zona 7|ZARUMA – PORTOVELO – ATAHUALPA|07D03|07D03C01_02||0|Fiscal|COSTA|Hispana|Educación regular|Presencial|Matutina|Educación Básica|Mestiza|No aplica|No Aplica|NO|1|Terrestre|27|4|Activa
