,Nombre de la Institución Educativa,Provincia
916,NAUN BRIONES,LOJA
917,FRANCISCO CHIGUA,LOJA
918,JUAN DE DIOS MALDONADO,LOJA
919,CARLOS CUADRADO LEON,LOJA
920,MANUEL REINALDO TINITANA SARANGO,LOJA
921,DR. NEPTALI CARRASCO,LOJA
922,PROFESOR HAMILTON TANDAZO,LOJA
923,SERVIO MONTERO,LOJA
924,SAN CRISTOBAL,LOJA
925,BENJAMIN CEVALLOS,LOJA
926,LA  LIBERTAD,LOJA
927,GUTTEMBERG,LOJA
928,SANTA MARIANITA,LOJA
929,ESCUELA GENERAL MOISES OLIVA RED EDUCATIVA UTUANA,LOJA
930,ROBERTH  OWEN,LOJA
931,ESCUELA FISCAL MIXTA BATALLON DEL SUR,LOJA
932,DR  JOSE PERALTA,LOJA
933,HERMANO AGUSTIN VILLAREAL DELGADO,LOJA
934,PIEDAD LARREA BORJA,LOJA
935,BATALLON CABO MINACHO,LOJA
936,SAN VICENTE FERRER,LOJA
937,ROSA LOAIZA VALAREZO,LOJA
938,11 DE NOVIEMBRE,LOJA
939,HNO SANTIAGO FERNANDEZ GARCIA,LOJA
940,CARLOS CEVALLOS VALDIVIESO,LOJA
941,UNIDAD ARTESANAL GEORGINA ROSILLO,LOJA
942,SERVILLO LUDEÑA GAHONA,LOJA
943,LA DOLOROSA  ATILLO,LOJA
944,JOSE JAVIER CABRERA JIMA,LOJA
945,JESUS DEL GRAN PODER,LOJA
946,ESCUELA HIPOLITO AMADOR LOAIZA DAVILA,LOJA
947,HITLER ROBERTO CORONEL JARAMILLO,LOJA
948,LOURDES,LOJA
949,TECNICO EDMUNDO CEVALLOS AGUIRRE,LOJA
950,EL CISNE,LOJA
951,DR. ISIDRO AYORA,LOJA
952,MARIA ANTONIETA RODRIGUEZ,LOJA
953,JACINTO  JIJÓN  Y CAAMAÑO,LOJA
954,CLOTARIO CUEVA PAZ,LOJA
955,GERARDO GUEVARA BARBA,LOJA
956,ANTONIO CASTILLO HERMANO MIGUEL,LOJA
957,U. E. ELOY ALFARO,LOJA
958,SAN JUAN DE LA CRUZ,LOJA
959,SANTA JUANA DE ARCO LA SALLE,LOJA
960,UNIDAD EDUCATIVA A DISTANCIA DE LOJA  EXT LIC ESTUARDO REZA,LOJA
961,LEON XIII,LOJA
962,SANTIAGO APOSTOL,LOJA
963,LUIS FELIPE CARBO,LOJA
964,REMIGIO CRESPO TORAL,LOJA
965,JUAN BAUTISTA AGUIRRE,LOJA
966,ENRI SALVADOR LOAIZA SOTO,LOJA
967,PENINSULA DE SANTA ELENA,LOJA
968,AMADA JUMBO SANTA TERESA,LOJA
969,HERNANDO  DE MAGALLANES,LOJA
970,LUZ DE AMERICA,LOJA
971,INSTITUTO TECNOLOGICO SUPERIOR CARIAMANGA,LOJA
972,INST.MARIANO SAMANIEGO,LOJA
973,SAN ANTONIO,LOJA
974,RUBEN DARIO,LOJA
975,NOCTURNA 14 DE OCTUBRE,LOJA
976,IMBABURA,LOJA
977,ESPECIAL  HELEN KELLER,LOJA
978,PAULO VI,LOJA
979,MUSTIOLA CUEVA DE REYES,LOJA
980,27 DE OCTUBRE,LOJA
981,GASPAR DE VILLARROEL,LOJA
982,GRAN COLOMBIA,LOJA
983,DR LORENZO IMAICELA,LOJA
984,CRISTOBAL COLON,LOJA
985,DR.  CARLOS ARROYO DEL RIO,LOJA
986,SAN JUAN EVANGELISTA,LOJA
987,SAN VICENTE FERRER,LOJA
988,CHILE,LOJA
989,LUIS ALFONSO CRESPO CHIRIBOGA,LOJA
990,UNIDAD EDUCATIVA FISCOMISIONAL  MARIA AUXILIADORA,LOJA
991,LANTADILLA,LOJA
992,CENTRO DE FORMACION ARTESANAL LA SALLE,LOJA
993,NARCIZA DE JESUS,LOJA
994,CENTRO ARTESANAL ELOY ALFARO,LOJA
995,LUZ RODRIGUEZ DE CORONEL,LOJA
996,ROSA ELVIRA BURNEO DE A,LOJA
997,SAN PEDRO MARTIR,LOJA
998,MARIANO SAMANIEGO,LOJA
999,TELMO OLIVA OJEDA,LOJA
1000,CIUDAD DE TOKIO,LOJA
1001,SRA. MERCEDES ONTANEDA SOLANO,LOJA
1002,AMBATO,LOJA
1003,SANTA MARIANA DE JESUS,LOJA
1004,REINA DEL CISNE,LOJA
