,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
0,BATALLON CAYAMBE NÚMERO 3,EL ORO,ARENILLAS,ARENILLAS,163,13
1,CORAZON DE JESUS,EL ORO,ARENILLAS,ARENILLAS,33,11
2,ONCE DE NOVIEMBRE,EL ORO,ARENILLAS,ARENILLAS,325,19
3,ASAAD BUCARAM,EL ORO,ARENILLAS,ARENILLAS,118,20
5,KLEBER TINOCO PINEDA,EL ORO,ARENILLAS,ARENILLAS,66,9
6,LAS BRISAS,EL ORO,ARENILLAS,ARENILLAS,96,4
7,CENTRO DE FORMACION ARTESANAL ARENILLAS,EL ORO,ARENILLAS,ARENILLAS,301,17
8,25 DE DICIEMBRE,EL ORO,ARENILLAS,ARENILLAS,54,3
9,AMAZONAS,EL ORO,ARENILLAS,ARENILLAS,121,5
10,CIUDAD DE ARENILLAS,EL ORO,ARENILLAS,ARENILLAS,465,15
11,ALBERT EINSTEIN,EL ORO,ARENILLAS,ARENILLAS,138,14
12,SANTO TOMAS DE AQUINO,EL ORO,ARENILLAS,ARENILLAS,229,20
13,9 DE OCTUBRE,EL ORO,ARENILLAS,ARENILLAS,23,2
16,18 DE NOVIEMBRE,EL ORO,ARENILLAS,ARENILLAS,158,11
17,JUAN MONTALVO,EL ORO,ARENILLAS,ARENILLAS,407,20
18,CIUDAD DE QUITO,EL ORO,ARENILLAS,ARENILLAS,336,18
19,ARISTIDES CORDOVA VILLACIS,EL ORO,ARENILLAS,ARENILLAS,41,5
21,CRNL FELIX HUMBERTO PINEDA CORREA,EL ORO,ARENILLAS,ARENILLAS,109,6
22,MONS LEONIDAS PROAÑO VILLALBA,EL ORO,ARENILLAS,ARENILLAS,151,6
23,NAPOLEON PALADINES CARREÑO,EL ORO,ARENILLAS,ARENILLAS,45,5
24,MAYOR HECTOR ESPINOZA,EL ORO,ARENILLAS,ARENILLAS,47,5
25,CONSTITUCION,EL ORO,ARENILLAS,ARENILLAS,141,8
26,ING. RAFAEL GUERRERO,EL ORO,ARENILLAS,ARENILLAS,12,2
27,DR CAMILO GALLEGOS DOMINGUEZ,EL ORO,ARENILLAS,ARENILLAS,613,30
29,5 DE JUNIO,EL ORO,ARENILLAS,PALMALES,14,2
30,RUMIÑAHUI,EL ORO,ARENILLAS,CHACRAS,120,12
31,SOLDADO JOSE DIAZ,EL ORO,ARENILLAS,CHACRAS,187,10
32,SIMON BOLIVAR,EL ORO,ARENILLAS,CHACRAS,46,3
33,JOSE MARIA MEJIA LEQUERICA,EL ORO,ARENILLAS,PALMALES,315,18
34,MAYOR GALO MOLINA,EL ORO,ARENILLAS,PALMALES,63,4
35,MAYOR  MANUEL ANTONIO ROSERO,EL ORO,ARENILLAS,PALMALES,46,3
36,ZOILA ESPERANZA CRESPO,EL ORO,ARENILLAS,CARCABON,29,4
37,JESUS MARIA YEPEZ,EL ORO,ARENILLAS,CARCABON,48,5
42,9 DE OCTUBRE,EL ORO,ARENILLAS,PALMALES,15,2
43,PALMALES,EL ORO,ARENILLAS,PALMALES,15,2
44,CABO LUIS MINACHO PADILLA,EL ORO,ARENILLAS,PALMALES,11,2
45,RIO ARENILLAS,EL ORO,ARENILLAS,PALMALES,21,3
48,24 DE MAYO,EL ORO,ARENILLAS,PALMALES,24,3
